id,bin,op_type,a,b,c,question,truth,intermediate,answer_sign,answer_digits
41,UltraSmall,B,2,3,5,(2 * 3) - 5,1,6,positive,1
42,UltraSmall,C,5,4,2,5 * (4 + 2),30,6,positive,2
43,UltraSmall,D,5,2,3,5 * (2 - 3),-5,-1,negative,1
44,UltraSmall,A,4,3,4,(4 * 3) + 4,16,12,positive,2
45,UltraSmall,B,5,4,1,(5 * 4) - 1,19,20,positive,2
46,UltraSmall,C,2,2,1,2 * (2 + 1),6,3,positive,1
47,UltraSmall,D,3,1,5,3 * (1 - 5),-12,-4,negative,2
48,UltraSmall,A,5,2,5,(5 * 2) + 5,15,10,positive,2
49,UltraSmall,B,5,2,3,(5 * 2) - 3,7,10,positive,1
50,UltraSmall,C,4,2,5,4 * (2 + 5),28,7,positive,2
51,UltraSmall,D,4,2,4,4 * (2 - 4),-8,-2,negative,1
52,UltraSmall,A,4,2,1,(4 * 2) + 1,9,8,positive,1
53,UltraSmall,B,4,4,4,(4 * 4) - 4,12,16,positive,2
54,UltraSmall,C,1,1,1,1 * (1 + 1),2,2,positive,1
55,UltraSmall,D,4,3,1,4 * (3 - 1),8,2,positive,1
56,UltraSmall,A,2,2,2,(2 * 2) + 2,6,4,positive,1
57,UltraSmall,B,5,4,2,(5 * 4) - 2,18,20,positive,2
58,UltraSmall,C,4,2,3,4 * (2 + 3),20,5,positive,2
59,UltraSmall,D,1,5,1,1 * (5 - 1),4,4,positive,1
60,UltraSmall,A,4,4,4,(4 * 4) + 4,20,16,positive,2
61,UltraSmall,B,2,4,1,(2 * 4) - 1,7,8,positive,1
62,UltraSmall,C,2,4,1,2 * (4 + 1),10,5,positive,2
63,UltraSmall,D,4,3,4,4 * (3 - 4),-4,-1,negative,1
64,UltraSmall,A,3,4,5,(3 * 4) + 5,17,12,positive,2
65,UltraSmall,B,4,2,2,(4 * 2) - 2,6,8,positive,1
66,UltraSmall,C,5,5,1,5 * (5 + 1),30,6,positive,2
67,UltraSmall,D,5,4,5,5 * (4 - 5),-5,-1,negative,1
68,UltraSmall,A,5,2,1,(5 * 2) + 1,11,10,positive,2
69,UltraSmall,B,2,4,1,(2 * 4) - 1,7,8,positive,1
70,UltraSmall,C,5,2,5,5 * (2 + 5),35,7,positive,2
71,UltraSmall,D,5,1,5,5 * (1 - 5),-20,-4,negative,2
72,UltraSmall,A,5,5,3,(5 * 5) + 3,28,25,positive,2
73,UltraSmall,B,4,5,5,(4 * 5) - 5,15,20,positive,2
74,UltraSmall,C,1,1,5,1 * (1 + 5),6,6,positive,1
75,UltraSmall,D,2,4,5,2 * (4 - 5),-2,-1,negative,1
76,UltraSmall,A,3,5,5,(3 * 5) + 5,20,15,positive,2
77,UltraSmall,B,5,2,3,(5 * 2) - 3,7,10,positive,1
78,UltraSmall,C,2,3,5,2 * (3 + 5),16,8,positive,2
79,UltraSmall,D,4,3,1,4 * (3 - 1),8,2,positive,1
80,Small,A,3,8,5,(3 * 8) + 5,29,24,positive,2
81,Small,B,2,2,6,(2 * 2) - 6,-2,4,negative,1
82,Small,C,4,6,3,4 * (6 + 3),36,9,positive,2
83,Small,D,9,8,9,9 * (8 - 9),-9,-1,negative,1
84,Small,A,2,3,2,(2 * 3) + 2,8,6,positive,1
85,Small,B,4,8,3,(4 * 8) - 3,29,32,positive,2
86,Small,C,2,6,6,2 * (6 + 6),24,12,positive,2
87,Small,D,2,7,4,2 * (7 - 4),6,3,positive,1
88,Small,A,5,3,6,(5 * 3) + 6,21,15,positive,2
89,Small,B,8,4,4,(8 * 4) - 4,28,32,positive,2
90,Small,C,4,4,7,4 * (4 + 7),44,11,positive,2
91,Small,D,2,4,6,2 * (4 - 6),-4,-2,negative,1
92,Small,A,8,5,5,(8 * 5) + 5,45,40,positive,2
93,Small,B,4,3,7,(4 * 3) - 7,5,12,positive,1
94,Small,C,2,9,4,2 * (9 + 4),26,13,positive,2
95,Small,D,5,9,6,5 * (9 - 6),15,3,positive,2
96,Small,A,6,5,4,(6 * 5) + 4,34,30,positive,2
97,Small,B,2,5,7,(2 * 5) - 7,3,10,positive,1
98,Small,C,7,6,2,7 * (6 + 2),56,8,positive,2
99,Small,D,6,7,9,6 * (7 - 9),-12,-2,negative,2
100,Small,A,8,7,1,(8 * 7) + 1,57,56,positive,2
101,Small,B,3,6,3,(3 * 6) - 3,15,18,positive,2
102,Small,C,6,2,2,6 * (2 + 2),24,4,positive,2
103,Small,D,8,3,7,8 * (3 - 7),-32,-4,negative,2
104,Small,A,5,6,1,(5 * 6) + 1,31,30,positive,2
105,Small,B,8,2,9,(8 * 2) - 9,7,16,positive,1
106,Small,C,5,7,7,5 * (7 + 7),70,14,positive,2
107,Small,D,3,6,9,3 * (6 - 9),-9,-3,negative,1
108,Small,A,6,8,6,(6 * 8) + 6,54,48,positive,2
109,Small,B,8,6,9,(8 * 6) - 9,39,48,positive,2
110,Small,C,4,5,7,4 * (5 + 7),48,12,positive,2
111,Small,D,8,4,5,8 * (4 - 5),-8,-1,negative,1
112,Small,A,8,2,5,(8 * 2) + 5,21,16,positive,2
113,Small,B,6,5,7,(6 * 5) - 7,23,30,positive,2
114,Small,C,7,9,8,7 * (9 + 8),119,17,positive,3
115,Small,D,9,5,9,9 * (5 - 9),-36,-4,negative,2
116,Small,A,9,4,2,(9 * 4) + 2,38,36,positive,2
117,Small,B,6,7,2,(6 * 7) - 2,40,42,positive,2
118,Small,C,5,6,4,5 * (6 + 4),50,10,positive,2
119,Small,D,5,4,1,5 * (4 - 1),15,3,positive,2
120,Small,A,2,5,8,(2 * 5) + 8,18,10,positive,2
121,Small,B,3,9,7,(3 * 9) - 7,20,27,positive,2
122,Small,C,5,8,8,5 * (8 + 8),80,16,positive,2
123,Small,D,8,5,3,8 * (5 - 3),16,2,positive,2
124,Small,A,2,3,7,(2 * 3) + 7,13,6,positive,2
125,Small,B,5,4,9,(5 * 4) - 9,11,20,positive,2
126,Small,C,9,2,9,9 * (2 + 9),99,11,positive,2
127,Small,D,5,3,8,5 * (3 - 8),-25,-5,negative,2
128,Small,A,4,9,9,(4 * 9) + 9,45,36,positive,2
129,Small,B,7,9,9,(7 * 9) - 9,54,63,positive,2
130,Small,C,8,9,3,8 * (9 + 3),96,12,positive,2
131,Small,D,9,9,5,9 * (9 - 5),36,4,positive,2
132,Small,A,5,6,9,(5 * 6) + 9,39,30,positive,2
133,Small,B,9,5,5,(9 * 5) - 5,40,45,positive,2
134,Small,C,9,3,5,9 * (3 + 5),72,8,positive,2
135,Small,D,4,5,7,4 * (5 - 7),-8,-2,negative,1
136,Small,A,4,5,2,(4 * 5) + 2,22,20,positive,2
137,Small,B,8,8,6,(8 * 8) - 6,58,64,positive,2
138,Small,C,5,8,7,5 * (8 + 7),75,15,positive,2
139,Small,D,8,8,9,8 * (8 - 9),-8,-1,negative,1
140,Small,A,5,9,4,(5 * 9) + 4,49,45,positive,2
141,Small,B,6,8,8,(6 * 8) - 8,40,48,positive,2
142,Small,C,2,8,6,2 * (8 + 6),28,14,positive,2
143,Small,D,8,4,8,8 * (4 - 8),-32,-4,negative,2
144,Small,A,4,2,7,(4 * 2) + 7,15,8,positive,2
145,Small,B,2,3,7,(2 * 3) - 7,-1,6,negative,1
146,Small,C,4,9,3,4 * (9 + 3),48,12,positive,2
147,Small,D,2,6,7,2 * (6 - 7),-2,-1,negative,1
148,Small,A,7,5,8,(7 * 5) + 8,43,35,positive,2
149,Small,B,7,7,7,(7 * 7) - 7,42,49,positive,2
150,Small,C,6,8,5,6 * (8 + 5),78,13,positive,2
151,Small,D,3,9,1,3 * (9 - 1),24,8,positive,2
152,Small,A,2,7,4,(2 * 7) + 4,18,14,positive,2
153,Small,B,3,2,1,(3 * 2) - 1,5,6,positive,1
154,Small,C,5,5,1,5 * (5 + 1),30,6,positive,2
155,Small,D,4,5,3,4 * (5 - 3),8,2,positive,1
156,Small,A,9,3,4,(9 * 3) + 4,31,27,positive,2
157,Small,B,9,6,6,(9 * 6) - 6,48,54,positive,2
158,Small,C,4,3,3,4 * (3 + 3),24,6,positive,2
159,Small,D,6,3,1,6 * (3 - 1),12,2,positive,2
160,Medium,A,29,14,35,(29 * 14) + 35,441,406,positive,3
161,Medium,B,22,4,47,(22 * 4) - 47,41,88,positive,2
162,Medium,C,25,5,29,25 * (5 + 29),850,34,positive,3
163,Medium,D,48,5,46,48 * (5 - 46),-1968,-41,negative,4
164,Medium,A,12,13,44,(12 * 13) + 44,200,156,positive,3
165,Medium,B,37,13,14,(37 * 13) - 14,467,481,positive,3
166,Medium,C,42,12,10,42 * (12 + 10),924,22,positive,3
167,Medium,D,37,13,39,37 * (13 - 39),-962,-26,negative,3
168,Medium,A,19,15,21,(19 * 15) + 21,306,285,positive,3
169,Medium,B,43,10,49,(43 * 10) - 49,381,430,positive,3
170,Medium,C,44,17,39,44 * (17 + 39),2464,56,positive,4
171,Medium,D,37,10,30,37 * (10 - 30),-740,-20,negative,3
172,Medium,A,25,4,27,(25 * 4) + 27,127,100,positive,3
173,Medium,B,38,9,39,(38 * 9) - 39,303,342,positive,3
174,Medium,C,46,14,31,46 * (14 + 31),2070,45,positive,4
175,Medium,D,11,17,30,11 * (17 - 30),-143,-13,negative,3
176,Medium,A,21,17,23,(21 * 17) + 23,380,357,positive,3
177,Medium,B,32,10,31,(32 * 10) - 31,289,320,positive,3
178,Medium,C,27,10,45,27 * (10 + 45),1485,55,positive,4
179,Medium,D,10,18,22,10 * (18 - 22),-40,-4,negative,2
180,Medium,A,15,9,36,(15 * 9) + 36,171,135,positive,3
181,Medium,B,41,19,25,(41 * 19) - 25,754,779,positive,3
182,Medium,C,40,17,38,40 * (17 + 38),2200,55,positive,4
183,Medium,D,11,4,28,11 * (4 - 28),-264,-24,negative,3
184,Medium,A,24,14,25,(24 * 14) + 25,361,336,positive,3
185,Medium,B,29,13,40,(29 * 13) - 40,337,377,positive,3
186,Medium,C,45,18,32,45 * (18 + 32),2250,50,positive,4
187,Medium,D,37,19,31,37 * (19 - 31),-444,-12,negative,3
188,Medium,A,32,16,27,(32 * 16) + 27,539,512,positive,3
189,Medium,B,29,10,24,(29 * 10) - 24,266,290,positive,3
190,Medium,C,17,8,30,17 * (8 + 30),646,38,positive,3
191,Medium,D,17,19,21,17 * (19 - 21),-34,-2,negative,2
192,Medium,A,22,8,40,(22 * 8) + 40,216,176,positive,3
193,Medium,B,27,18,48,(27 * 18) - 48,438,486,positive,3
194,Medium,C,28,5,22,28 * (5 + 22),756,27,positive,3
195,Medium,D,28,9,33,28 * (9 - 33),-672,-24,negative,3
196,Medium,A,21,11,10,(21 * 11) + 10,241,231,positive,3
197,Medium,B,44,6,27,(44 * 6) - 27,237,264,positive,3
198,Medium,C,12,3,45,12 * (3 + 45),576,48,positive,3
199,Medium,D,28,6,41,28 * (6 - 41),-980,-35,negative,3
200,Medium,A,16,2,46,(16 * 2) + 46,78,32,positive,2
201,Medium,B,28,17,40,(28 * 17) - 40,436,476,positive,3
202,Medium,C,38,12,21,38 * (12 + 21),1254,33,positive,4
203,Medium,D,13,10,40,13 * (10 - 40),-390,-30,negative,3
204,Medium,A,17,4,35,(17 * 4) + 35,103,68,positive,3
205,Medium,B,41,4,46,(41 * 4) - 46,118,164,positive,3
206,Medium,C,13,6,19,13 * (6 + 19),325,25,positive,3
207,Medium,D,46,11,15,46 * (11 - 15),-184,-4,negative,3
208,Medium,A,25,5,45,(25 * 5) + 45,170,125,positive,3
209,Medium,B,36,9,43,(36 * 9) - 43,281,324,positive,3
210,Medium,C,34,16,38,34 * (16 + 38),1836,54,positive,4
211,Medium,D,29,15,29,29 * (15 - 29),-406,-14,negative,3
212,Medium,A,46,3,49,(46 * 3) + 49,187,138,positive,3
213,Medium,B,16,8,23,(16 * 8) - 23,105,128,positive,3
214,Medium,C,26,4,20,26 * (4 + 20),624,24,positive,3
215,Medium,D,25,7,45,25 * (7 - 45),-950,-38,negative,3
216,Medium,A,14,7,10,(14 * 7) + 10,108,98,positive,3
217,Medium,B,36,16,48,(36 * 16) - 48,528,576,positive,3
218,Medium,C,40,11,12,40 * (11 + 12),920,23,positive,3
219,Medium,D,24,11,28,24 * (11 - 28),-408,-17,negative,3
220,Medium,A,39,4,24,(39 * 4) + 24,180,156,positive,3
221,Medium,B,26,8,37,(26 * 8) - 37,171,208,positive,3
222,Medium,C,17,19,24,17 * (19 + 24),731,43,positive,3
223,Medium,D,19,10,19,19 * (10 - 19),-171,-9,negative,3
224,Medium,A,14,3,20,(14 * 3) + 20,62,42,positive,2
225,Medium,B,29,11,38,(29 * 11) - 38,281,319,positive,3
226,Medium,C,17,16,29,17 * (16 + 29),765,45,positive,3
227,Medium,D,35,10,42,35 * (10 - 42),-1120,-32,negative,4
228,Medium,A,44,17,38,(44 * 17) + 38,786,748,positive,3
229,Medium,B,15,3,37,(15 * 3) - 37,8,45,positive,1
230,Medium,C,30,10,11,30 * (10 + 11),630,21,positive,3
231,Medium,D,15,9,46,15 * (9 - 46),-555,-37,negative,3
232,Medium,A,47,2,27,(47 * 2) + 27,121,94,positive,3
233,Medium,B,46,3,21,(46 * 3) - 21,117,138,positive,3
234,Medium,C,40,18,38,40 * (18 + 38),2240,56,positive,4
235,Medium,D,27,7,47,27 * (7 - 47),-1080,-40,negative,4
236,Medium,A,37,17,15,(37 * 17) + 15,644,629,positive,3
237,Medium,B,40,13,36,(40 * 13) - 36,484,520,positive,3
238,Medium,C,31,12,16,31 * (12 + 16),868,28,positive,3
239,Medium,D,20,12,36,20 * (12 - 36),-480,-24,negative,3
240,Large,A,98,73,46,(98 * 73) + 46,7200,7154,positive,4
241,Large,B,94,61,80,(94 * 61) - 80,5654,5734,positive,4
242,Large,C,14,68,21,14 * (68 + 21),1246,89,positive,4
243,Large,D,50,42,51,50 * (42 - 51),-450,-9,negative,3
244,Large,A,24,61,75,(24 * 61) + 75,1539,1464,positive,4
245,Large,B,10,94,79,(10 * 94) - 79,861,940,positive,3
246,Large,C,69,62,16,69 * (62 + 16),5382,78,positive,4
247,Large,D,34,76,56,34 * (76 - 56),680,20,positive,3
248,Large,A,89,73,90,(89 * 73) + 90,6587,6497,positive,4
249,Large,B,66,16,36,(66 * 16) - 36,1020,1056,positive,4
250,Large,C,44,80,26,44 * (80 + 26),4664,106,positive,4
251,Large,D,46,66,99,46 * (66 - 99),-1518,-33,negative,4
252,Large,A,72,25,13,(72 * 25) + 13,1813,1800,positive,4
253,Large,B,90,87,40,(90 * 87) - 40,7790,7830,positive,4
254,Large,C,30,49,80,30 * (49 + 80),3870,129,positive,4
255,Large,D,11,80,62,11 * (80 - 62),198,18,positive,3
256,Large,A,21,38,24,(21 * 38) + 24,822,798,positive,3
257,Large,B,69,25,92,(69 * 25) - 92,1633,1725,positive,4
258,Large,C,29,73,47,29 * (73 + 47),3480,120,positive,4
259,Large,D,75,44,63,75 * (44 - 63),-1425,-19,negative,4
260,Large,A,71,70,41,(71 * 70) + 41,5011,4970,positive,4
261,Large,B,68,80,28,(68 * 80) - 28,5412,5440,positive,4
262,Large,C,59,34,86,59 * (34 + 86),7080,120,positive,4
263,Large,D,75,27,18,75 * (27 - 18),675,9,positive,3
264,Large,A,45,63,53,(45 * 63) + 53,2888,2835,positive,4
265,Large,B,74,44,10,(74 * 44) - 10,3246,3256,positive,4
266,Large,C,46,48,85,46 * (48 + 85),6118,133,positive,4
267,Large,D,84,94,72,84 * (94 - 72),1848,22,positive,4
268,Large,A,29,67,78,(29 * 67) + 78,2021,1943,positive,4
269,Large,B,71,54,52,(71 * 54) - 52,3782,3834,positive,4
270,Large,C,80,79,58,80 * (79 + 58),10960,137,positive,5
271,Large,D,68,51,34,68 * (51 - 34),1156,17,positive,4
272,Large,A,99,40,83,(99 * 40) + 83,4043,3960,positive,4
273,Large,B,59,39,62,(59 * 39) - 62,2239,2301,positive,4
274,Large,C,15,50,70,15 * (50 + 70),1800,120,positive,4
275,Large,D,58,59,94,58 * (59 - 94),-2030,-35,negative,4
276,Large,A,93,29,73,(93 * 29) + 73,2770,2697,positive,4
277,Large,B,14,26,74,(14 * 26) - 74,290,364,positive,3
278,Large,C,85,52,22,85 * (52 + 22),6290,74,positive,4
279,Large,D,66,22,77,66 * (22 - 77),-3630,-55,negative,4
280,Large,A,68,11,28,(68 * 11) + 28,776,748,positive,3
281,Large,B,62,93,29,(62 * 93) - 29,5737,5766,positive,4
282,Large,C,19,70,43,19 * (70 + 43),2147,113,positive,4
283,Large,D,53,89,98,53 * (89 - 98),-477,-9,negative,3
284,Large,A,60,93,20,(60 * 93) + 20,5600,5580,positive,4
285,Large,B,52,96,78,(52 * 96) - 78,4914,4992,positive,4
286,Large,C,58,50,90,58 * (50 + 90),8120,140,positive,4
287,Large,D,72,79,14,72 * (79 - 14),4680,65,positive,4
288,Large,A,89,18,40,(89 * 18) + 40,1642,1602,positive,4
289,Large,B,90,97,46,(90 * 97) - 46,8684,8730,positive,4
290,Large,C,39,21,65,39 * (21 + 65),3354,86,positive,4
291,Large,D,22,91,22,22 * (91 - 22),1518,69,positive,4
292,Large,A,66,31,98,(66 * 31) + 98,2144,2046,positive,4
293,Large,B,48,13,15,(48 * 13) - 15,609,624,positive,3
294,Large,C,51,17,47,51 * (17 + 47),3264,64,positive,4
295,Large,D,55,57,65,55 * (57 - 65),-440,-8,negative,3
296,Large,A,28,41,77,(28 * 41) + 77,1225,1148,positive,4
297,Large,B,62,82,97,(62 * 82) - 97,4987,5084,positive,4
298,Large,C,33,31,32,33 * (31 + 32),2079,63,positive,4
299,Large,D,20,88,58,20 * (88 - 58),600,30,positive,3
300,Large,A,89,97,40,(89 * 97) + 40,8673,8633,positive,4
301,Large,B,73,84,28,(73 * 84) - 28,6104,6132,positive,4
302,Large,C,39,69,91,39 * (69 + 91),6240,160,positive,4
303,Large,D,42,68,42,42 * (68 - 42),1092,26,positive,4
304,Large,A,95,11,69,(95 * 11) + 69,1114,1045,positive,4
305,Large,B,46,96,79,(46 * 96) - 79,4337,4416,positive,4
306,Large,C,30,19,66,30 * (19 + 66),2550,85,positive,4
307,Large,D,54,85,48,54 * (85 - 48),1998,37,positive,4
308,Large,A,91,64,98,(91 * 64) + 98,5922,5824,positive,4
309,Large,B,42,68,48,(42 * 68) - 48,2808,2856,positive,4
310,Large,C,35,59,71,35 * (59 + 71),4550,130,positive,4
311,Large,D,23,40,58,23 * (40 - 58),-414,-18,negative,3
312,Large,A,83,55,83,(83 * 55) + 83,4648,4565,positive,4
313,Large,B,47,99,47,(47 * 99) - 47,4606,4653,positive,4
314,Large,C,12,94,60,12 * (94 + 60),1848,154,positive,4
315,Large,D,45,11,82,45 * (11 - 82),-3195,-71,negative,4
316,Large,A,97,16,87,(97 * 16) + 87,1639,1552,positive,4
317,Large,B,73,46,39,(73 * 46) - 39,3319,3358,positive,4
318,Large,C,87,55,38,87 * (55 + 38),8091,93,positive,4
319,Large,D,91,34,89,91 * (34 - 89),-5005,-55,negative,4
320,Negative,A,26,6,-16,(26 * 6) + -16,140,156,positive,3
321,Negative,B,-12,11,38,(-12 * 11) - 38,-170,-132,negative,3
322,Negative,C,-47,13,18,-47 * (13 + 18),-1457,31,negative,4
323,Negative,D,-28,12,36,-28 * (12 - 36),672,-24,positive,3
324,Negative,A,22,-6,44,(22 * -6) + 44,-88,-132,negative,2
325,Negative,B,-43,18,27,(-43 * 18) - 27,-801,-774,negative,3
326,Negative,C,26,17,-28,26 * (17 + -28),-286,-11,negative,3
327,Negative,D,-31,5,39,-31 * (5 - 39),1054,-34,positive,4
328,Negative,A,19,9,-35,(19 * 9) + -35,136,171,positive,3
329,Negative,B,-33,4,35,(-33 * 4) - 35,-167,-132,negative,3
330,Negative,C,26,-19,17,26 * (-19 + 17),-52,-2,negative,2
331,Negative,D,33,-10,47,33 * (-10 - 47),-1881,-57,negative,4
332,Negative,A,33,-5,24,(33 * -5) + 24,-141,-165,negative,3
333,Negative,B,11,19,-30,(11 * 19) - -30,239,209,positive,3
334,Negative,C,24,4,-39,24 * (4 + -39),-840,-35,negative,3
335,Negative,D,-29,15,17,-29 * (15 - 17),58,-2,positive,2
336,Negative,A,12,-3,29,(12 * -3) + 29,-7,-36,negative,1
337,Negative,B,17,5,-25,(17 * 5) - -25,110,85,positive,3
338,Negative,C,18,-14,39,18 * (-14 + 39),450,25,positive,3
339,Negative,D,44,15,-47,44 * (15 - -47),2728,62,positive,4
340,Negative,A,19,-15,16,(19 * -15) + 16,-269,-285,negative,3
341,Negative,B,-49,15,27,(-49 * 15) - 27,-762,-735,negative,3
342,Negative,C,33,-8,38,33 * (-8 + 38),990,30,positive,3
343,Negative,D,25,13,-16,25 * (13 - -16),725,29,positive,3
344,Negative,A,-33,19,32,(-33 * 19) + 32,-595,-627,negative,3
345,Negative,B,-35,10,22,(-35 * 10) - 22,-372,-350,negative,3
346,Negative,C,39,4,-23,39 * (4 + -23),-741,-19,negative,3
347,Negative,D,48,-2,13,48 * (-2 - 13),-720,-15,negative,3
348,Negative,A,-25,6,46,(-25 * 6) + 46,-104,-150,negative,3
349,Negative,B,14,19,-23,(14 * 19) - -23,289,266,positive,3
350,Negative,C,-23,9,31,-23 * (9 + 31),-920,40,negative,3
351,Negative,D,-48,2,27,-48 * (2 - 27),1200,-25,positive,4
352,Negative,A,-18,19,26,(-18 * 19) + 26,-316,-342,negative,3
353,Negative,B,-17,2,18,(-17 * 2) - 18,-52,-34,negative,2
354,Negative,C,32,-9,47,32 * (-9 + 47),1216,38,positive,4
355,Negative,D,-11,7,26,-11 * (7 - 26),209,-19,positive,3
356,Negative,A,-18,15,43,(-18 * 15) + 43,-227,-270,negative,3
357,Negative,B,14,-17,38,(14 * -17) - 38,-276,-238,negative,3
358,Negative,C,42,5,-38,42 * (5 + -38),-1386,-33,negative,4
359,Negative,D,24,-3,43,24 * (-3 - 43),-1104,-46,negative,4
360,Negative,A,39,-2,13,(39 * -2) + 13,-65,-78,negative,2
361,Negative,B,35,-15,16,(35 * -15) - 16,-541,-525,negative,3
362,Negative,C,38,-4,15,38 * (-4 + 15),418,11,positive,3
363,Negative,D,-48,6,14,-48 * (6 - 14),384,-8,positive,3
364,Negative,A,27,-19,30,(27 * -19) + 30,-483,-513,negative,3
365,Negative,B,48,-18,28,(48 * -18) - 28,-892,-864,negative,3
366,Negative,C,42,15,-16,42 * (15 + -16),-42,-1,negative,2
367,Negative,D,17,-19,23,17 * (-19 - 23),-714,-42,negative,3
368,Negative,A,38,-9,36,(38 * -9) + 36,-306,-342,negative,3
369,Negative,B,39,14,-36,(39 * 14) - -36,582,546,positive,3
370,Negative,C,16,-12,37,16 * (-12 + 37),400,25,positive,3
371,Negative,D,26,13,-19,26 * (13 - -19),832,32,positive,3
372,Negative,A,-40,4,15,(-40 * 4) + 15,-145,-160,negative,3
373,Negative,B,15,15,-16,(15 * 15) - -16,241,225,positive,3
374,Negative,C,-33,6,45,-33 * (6 + 45),-1683,51,negative,4
375,Negative,D,47,-19,45,47 * (-19 - 45),-3008,-64,negative,4
376,Negative,A,17,15,-32,(17 * 15) + -32,223,255,positive,3
377,Negative,B,37,3,-28,(37 * 3) - -28,139,111,positive,3
378,Negative,C,29,13,-16,29 * (13 + -16),-87,-3,negative,2
379,Negative,D,42,8,-19,42 * (8 - -19),1134,27,positive,4
380,Negative,A,40,-9,16,(40 * -9) + 16,-344,-360,negative,3
381,Negative,B,45,-13,17,(45 * -13) - 17,-602,-585,negative,3
382,Negative,C,46,9,-37,46 * (9 + -37),-1288,-28,negative,4
383,Negative,D,49,19,-11,49 * (19 - -11),1470,30,positive,4
384,Negative,A,27,-2,21,(27 * -2) + 21,-33,-54,negative,2
385,Negative,B,-29,12,32,(-29 * 12) - 32,-380,-348,negative,3
386,Negative,C,21,6,-46,21 * (6 + -46),-840,-40,negative,3
387,Negative,D,35,4,-19,35 * (4 - -19),805,23,positive,3
388,Negative,A,-11,4,43,(-11 * 4) + 43,-1,-44,negative,1
389,Negative,B,34,-15,39,(34 * -15) - 39,-549,-510,negative,3
390,Negative,C,20,13,-29,20 * (13 + -29),-320,-16,negative,3
391,Negative,D,-30,4,13,-30 * (4 - 13),270,-9,positive,3
392,Negative,A,20,-3,15,(20 * -3) + 15,-45,-60,negative,2
393,Negative,B,38,15,-41,(38 * 15) - -41,611,570,positive,3
394,Negative,C,-38,15,27,-38 * (15 + 27),-1596,42,negative,4
395,Negative,D,42,-5,32,42 * (-5 - 32),-1554,-37,negative,4
396,Negative,A,17,-11,47,(17 * -11) + 47,-140,-187,negative,3
397,Negative,B,-43,11,12,(-43 * 11) - 12,-485,-473,negative,3
398,Negative,C,-35,3,10,-35 * (3 + 10),-455,13,negative,3
