problem_id,condition,group,correct,parsed_answer,truth,bin,op_type,response,clean_response,n_clean_tokens,n_gen_tokens,n_full_tokens,answer_token_idx,filename,has_trajectory,issues,contaminated
21,direct,G2,True,5,5,UltraSmall,B," 5

",5,3,3,3,2,021_direct.npy,True,,False
21,cot,G4,True,5,5,UltraSmall,B," First, multiply 4 by 2 to get 8. Then, subtract 3 from 8 to get 5. ANSWER: 5

Question:"," First, multiply 4 by 2 to get 8. Then, subtract 3 from 8 to get 5. ANSWER: 5",32,34,34,31,021_cot.npy,True,,False
22,direct,G2,True,14,14,UltraSmall,C," 14

",14,4,4,4,3,022_direct.npy,True,,False
22,cot,G4,True,14,14,UltraSmall,C," First, we solve the expression inside the parentheses: 2 + 5 = 7. Then, we multiply the result by 2: 2 * 7 = 14. ANSWER: 14

Question:"," First, we solve the expression inside the parentheses: 2 + 5 = 7. Then, we multiply the result by 2: 2 * 7 = 14. ANSWER: 14",46,48,48,45,022_cot.npy,True,,False
23,direct,G2,True,-10,-10,UltraSmall,D," -10

",-10,4,4,4,3,023_direct.npy,True,,False
23,cot,G4,True,-10,-10,UltraSmall,D," First, we need to solve the expression inside the parentheses: 3 - 5 = -2. Then, we multiply the result by 5: 5 * -2 = -10. ANSWER: -10

Question:"," First, we need to solve the expression inside the parentheses: 3 - 5 = -2. Then, we multiply the result by 5: 5 * -2 = -10. ANSWER: -10",48,50,50,47,023_cot.npy,True,,False
24,direct,G2,True,24,24,UltraSmall,A," 24

",24,4,4,4,3,024_direct.npy,True,,False
24,cot,G4,True,24,24,UltraSmall,A," First, multiply 4 by 5 to get 20. Then, add 4 to 20 to get 24. ANSWER: 24

Question:"," First, multiply 4 by 5 to get 20. Then, add 4 to 20 to get 24. ANSWER: 24",36,38,38,35,024_cot.npy,True,,False
25,direct,G2,True,4,4,UltraSmall,B," 4

",4,3,3,3,2,025_direct.npy,True,,False
25,cot,G4,True,4,4,UltraSmall,B," First, multiply 3 by 2 to get 6. Then, subtract 2 from 6 to get 4. ANSWER: 4

Question:"," First, multiply 3 by 2 to get 6. Then, subtract 2 from 6 to get 4. ANSWER: 4",32,34,34,31,025_cot.npy,True,,False
26,direct,G2,True,3,3,UltraSmall,C," 3

",3,3,3,3,2,026_direct.npy,True,,False
26,cot,G4,True,3,3,UltraSmall,C," 1 multiplied by (1 plus 2) is 3. ANSWER: 3

Question:", 1 multiplied by (1 plus 2) is 3. ANSWER: 3,20,22,22,19,026_cot.npy,True,,False
27,direct,G2,True,-2,-2,UltraSmall,D," -2

",-2,3,3,3,2,027_direct.npy,True,,False
27,cot,G4,True,-2,-2,UltraSmall,D," First, we need to solve the expression inside the parentheses: 4 - 5 = -1. Then, we multiply the result by 2: 2 * -1 = -2. ANSWER: -2

Question:"," First, we need to solve the expression inside the parentheses: 4 - 5 = -1. Then, we multiply the result by 2: 2 * -1 = -2. ANSWER: -2",46,48,48,45,027_cot.npy,True,,False
28,direct,G2,True,25,25,UltraSmall,A," 25

",25,4,4,4,3,028_direct.npy,True,,False
28,cot,G4,True,25,25,UltraSmall,A," First, multiply 5 by 4 to get 20. Then, add 5 to 20 to get 25. ANSWER: 25

Question:"," First, multiply 5 by 4 to get 20. Then, add 5 to 20 to get 25. ANSWER: 25",36,38,38,35,028_cot.npy,True,,False
29,direct,G2,True,14,14,UltraSmall,B," 14

",14,4,4,4,3,029_direct.npy,True,,False
29,cot,G4,True,14,14,UltraSmall,B," First, multiply 3 by 5 to get 15. Then, subtract 1 from 15 to get 14. ANSWER: 14

Question:"," First, multiply 3 by 5 to get 15. Then, subtract 1 from 15 to get 14. ANSWER: 14",36,38,38,35,029_cot.npy,True,,False
30,direct,G2,True,8,8,UltraSmall,C," 8

",8,3,3,3,2,030_direct.npy,True,,False
30,cot,G4,True,8,8,UltraSmall,C," First, we solve the expression inside the parentheses: 5 + 3 = 8. Then, we multiply the result by 1: 1 * 8 = 8. ANSWER: 8

Question:"," First, we solve the expression inside the parentheses: 5 + 3 = 8. Then, we multiply the result by 1: 1 * 8 = 8. ANSWER: 8",44,46,46,43,030_cot.npy,True,,False
31,direct,G2,True,-6,-6,UltraSmall,D," -6

",-6,3,3,3,2,031_direct.npy,True,,False
31,cot,G4,True,-6,-6,UltraSmall,D," First, subtract 3 from 1 to get -2. Then, multiply -2 by 3 to get -6. ANSWER: -6

Question:"," First, subtract 3 from 1 to get -2. Then, multiply -2 by 3 to get -6. ANSWER: -6",32,34,34,31,031_cot.npy,True,,False
32,direct,G2,True,12,12,UltraSmall,A," 12

",12,4,4,4,3,032_direct.npy,True,,False
32,cot,G4,True,12,12,UltraSmall,A," First, multiply 4 by 2 to get 8. Then, add 4 to 8 to get 12. ANSWER: 12

Question:"," First, multiply 4 by 2 to get 8. Then, add 4 to 8 to get 12. ANSWER: 12",34,36,36,33,032_cot.npy,True,,False
33,direct,G2,True,9,9,UltraSmall,B," 9

",9,3,3,3,2,033_direct.npy,True,,False
33,cot,G4,True,9,9,UltraSmall,B," First, multiply 2 by 5 to get 10. Then, subtract 1 from 10 to get 9. ANSWER: 9

Question:"," First, multiply 2 by 5 to get 10. Then, subtract 1 from 10 to get 9. ANSWER: 9",34,36,36,33,033_cot.npy,True,,False
34,direct,G2,True,30,30,UltraSmall,C," 30

",30,4,4,4,3,034_direct.npy,True,,False
34,cot,G4,True,30,30,UltraSmall,C," First, add 5 and 5 to get 10. Then, multiply 3 by 10 to get 30. ANSWER: 30

Question:"," First, add 5 and 5 to get 10. Then, multiply 3 by 10 to get 30. ANSWER: 30",36,38,38,35,034_cot.npy,True,,False
35,direct,G1,False,-4,-2,UltraSmall,D," -4

",-4,3,3,3,2,035_direct.npy,True,,False
35,cot,G4,True,-2,-2,UltraSmall,D," First, we solve the expression inside the parentheses: 2 - 3 equals -1. Then, we multiply the result by 2: 2 * -1 equals -2. ANSWER: -2

Question:"," First, we solve the expression inside the parentheses: 2 - 3 equals -1. Then, we multiply the result by 2: 2 * -1 equals -2. ANSWER: -2",44,46,46,43,035_cot.npy,True,,False
36,direct,G2,True,15,15,UltraSmall,A," 15

",15,4,4,4,3,036_direct.npy,True,,False
36,cot,G4,True,15,15,UltraSmall,A," First, multiply 2 by 5 to get 10. Then, add 5 to 10 to get 15. ANSWER: 15

Question:"," First, multiply 2 by 5 to get 10. Then, add 5 to 10 to get 15. ANSWER: 15",36,38,38,35,036_cot.npy,True,,False
37,direct,G2,True,7,7,UltraSmall,B," 7

",7,3,3,3,2,037_direct.npy,True,,False
37,cot,G4,True,7,7,UltraSmall,B," First, multiply 3 by 3 to get 9. Then, subtract 2 from 9 to get 7. ANSWER: 7

Question:"," First, multiply 3 by 3 to get 9. Then, subtract 2 from 9 to get 7. ANSWER: 7",32,34,34,31,037_cot.npy,True,,False
38,direct,G1,False,17,7,UltraSmall,C," 17

",17,4,4,4,3,038_direct.npy,True,,False
38,cot,G4,True,7,7,UltraSmall,C," First, we solve the expression inside the parentheses: 2 + 5 = 7. Then, we multiply the result by 1: 1 * 7 = 7. ANSWER: 7

Question:"," First, we solve the expression inside the parentheses: 2 + 5 = 7. Then, we multiply the result by 1: 1 * 7 = 7. ANSWER: 7",44,46,46,43,038_cot.npy,True,,False
39,direct,G2,True,-3,-3,UltraSmall,D," -3

",-3,3,3,3,2,039_direct.npy,True,,False
39,cot,G4,True,-3,-3,UltraSmall,D," 1 multiplied by (1 minus 4) is -3. ANSWER: -3

Question:", 1 multiplied by (1 minus 4) is -3. ANSWER: -3,20,22,22,19,039_cot.npy,True,,False
40,direct,G2,True,13,13,UltraSmall,A," 13

",13,4,4,4,3,040_direct.npy,True,,False
40,cot,G4,True,13,13,UltraSmall,A," First, multiply 2 by 4 to get 8. Then, add 5 to 8 to get 13. ANSWER: 13

Question:"," First, multiply 2 by 4 to get 8. Then, add 5 to 8 to get 13. ANSWER: 13",34,36,36,33,040_cot.npy,True,,False
41,direct,G2,True,1,1,UltraSmall,B," 1

",1,3,3,3,2,041_direct.npy,True,,False
41,cot,G4,True,1,1,UltraSmall,B," First, multiply 2 and 3 to get 6. Then, subtract 5 from 6 to get 1. ANSWER: 1

Question:"," First, multiply 2 and 3 to get 6. Then, subtract 5 from 6 to get 1. ANSWER: 1",32,34,34,31,041_cot.npy,True,,False
42,direct,G2,True,30,30,UltraSmall,C," 30

",30,4,4,4,3,042_direct.npy,True,,False
42,cot,G4,True,30,30,UltraSmall,C," First, add 4 and 2 to get 6. Then, multiply 5 by 6 to get 30. ANSWER: 30

Question:"," First, add 4 and 2 to get 6. Then, multiply 5 by 6 to get 30. ANSWER: 30",34,36,36,33,042_cot.npy,True,,False
43,direct,G2,True,-5,-5,UltraSmall,D," -5

",-5,3,3,3,2,043_direct.npy,True,,False
43,cot,G4,True,-5,-5,UltraSmall,D," First, we need to solve the expression inside the parentheses: 2 - 3 = -1. Then, we multiply the result by 5: 5 * -1 = -5. ANSWER: -5

Question:"," First, we need to solve the expression inside the parentheses: 2 - 3 = -1. Then, we multiply the result by 5: 5 * -1 = -5. ANSWER: -5",46,48,48,45,043_cot.npy,True,,False
44,direct,G2,True,16,16,UltraSmall,A," 16

",16,4,4,4,3,044_direct.npy,True,,False
44,cot,G4,True,16,16,UltraSmall,A," First, multiply 4 by 3 to get 12. Then, add 4 to 12 to get 16. ANSWER: 16

Question:"," First, multiply 4 by 3 to get 12. Then, add 4 to 12 to get 16. ANSWER: 16",36,38,38,35,044_cot.npy,True,,False
45,direct,G2,True,19,19,UltraSmall,B," 19

",19,4,4,4,3,045_direct.npy,True,,False
45,cot,G4,True,19,19,UltraSmall,B," First, multiply 5 by 4 to get 20. Then, subtract 1 from 20 to get 19. ANSWER: 19

Question:"," First, multiply 5 by 4 to get 20. Then, subtract 1 from 20 to get 19. ANSWER: 19",36,38,38,35,045_cot.npy,True,,False
46,direct,G2,True,6,6,UltraSmall,C," 6

",6,3,3,3,2,046_direct.npy,True,,False
46,cot,G4,True,6,6,UltraSmall,C," First, add 2 and 1 to get 3. Then, multiply 2 by 3 to get 6. ANSWER: 6

Question:"," First, add 2 and 1 to get 3. Then, multiply 2 by 3 to get 6. ANSWER: 6",32,34,34,31,046_cot.npy,True,,False
47,direct,G2,True,-12,-12,UltraSmall,D," -12

",-12,4,4,4,3,047_direct.npy,True,,False
47,cot,G4,True,-12,-12,UltraSmall,D," First, subtract 5 from 1 to get -4. Then, multiply 3 by -4 to get -12. ANSWER: -12

Question:"," First, subtract 5 from 1 to get -4. Then, multiply 3 by -4 to get -12. ANSWER: -12",34,36,36,33,047_cot.npy,True,,False
48,direct,G2,True,15,15,UltraSmall,A," 15

",15,4,4,4,3,048_direct.npy,True,,False
48,cot,G4,True,15,15,UltraSmall,A," First, multiply 5 by 2 to get 10. Then, add 5 to 10 to get 15. ANSWER: 15

Question:"," First, multiply 5 by 2 to get 10. Then, add 5 to 10 to get 15. ANSWER: 15",36,38,38,35,048_cot.npy,True,,False
49,direct,G2,True,7,7,UltraSmall,B," 7

",7,3,3,3,2,049_direct.npy,True,,False
49,cot,G4,True,7,7,UltraSmall,B," First, multiply 5 by 2 to get 10. Then, subtract 3 from 10 to get 7. ANSWER: 7

Question:"," First, multiply 5 by 2 to get 10. Then, subtract 3 from 10 to get 7. ANSWER: 7",34,36,36,33,049_cot.npy,True,,False
50,direct,G2,True,28,28,UltraSmall,C," 28

",28,4,4,4,3,050_direct.npy,True,,False
50,cot,G4,True,28,28,UltraSmall,C," First, we solve the expression inside the parentheses: 2 + 5 = 7. Then, we multiply 4 by 7: 4 * 7 = 28. ANSWER: 28

Question:"," First, we solve the expression inside the parentheses: 2 + 5 = 7. Then, we multiply 4 by 7: 4 * 7 = 28. ANSWER: 28",46,48,48,45,050_cot.npy,True,,False
51,direct,G2,True,-8,-8,UltraSmall,D," -8

",-8,3,3,3,2,051_direct.npy,True,,False
51,cot,G4,True,-8,-8,UltraSmall,D," First, we need to solve the expression inside the parentheses: 2 - 4 = -2. Then, we multiply the result by 4: 4 * -2 = -8. ANSWER: -8

Question:"," First, we need to solve the expression inside the parentheses: 2 - 4 = -2. Then, we multiply the result by 4: 4 * -2 = -8. ANSWER: -8",46,48,48,45,051_cot.npy,True,,False
52,direct,G2,True,9,9,UltraSmall,A," 9

",9,3,3,3,2,052_direct.npy,True,,False
52,cot,G4,True,9,9,UltraSmall,A," First, multiply 4 by 2 to get 8. Then, add 1 to 8 to get 9. ANSWER: 9

Question:"," First, multiply 4 by 2 to get 8. Then, add 1 to 8 to get 9. ANSWER: 9",32,34,34,31,052_cot.npy,True,,False
53,direct,G2,True,12,12,UltraSmall,B," 12

",12,4,4,4,3,053_direct.npy,True,,False
53,cot,G4,True,12,12,UltraSmall,B," First, calculate 4 multiplied by 4, which equals 16. Then, subtract 4 from 16, which equals 12. ANSWER: 12

Question:"," First, calculate 4 multiplied by 4, which equals 16. Then, subtract 4 from 16, which equals 12. ANSWER: 12",39,41,41,38,053_cot.npy,True,,False
54,direct,G2,True,2,2,UltraSmall,C," 2

",2,3,3,3,2,054_direct.npy,True,,False
54,cot,G4,True,2,2,UltraSmall,C," 1 multiplied by (1 plus 1) is 2. ANSWER: 2

Question:", 1 multiplied by (1 plus 1) is 2. ANSWER: 2,20,22,22,19,054_cot.npy,True,,False
55,direct,G2,True,8,8,UltraSmall,D," 8

",8,3,3,3,2,055_direct.npy,True,,False
55,cot,G4,True,8,8,UltraSmall,D," First, we solve the expression inside the parentheses: 3 - 1 equals 2. Then, we multiply 4 by 2, which equals 8. ANSWER: 8

Question:"," First, we solve the expression inside the parentheses: 3 - 1 equals 2. Then, we multiply 4 by 2, which equals 8. ANSWER: 8",40,42,42,39,055_cot.npy,True,,False
56,direct,G2,True,6,6,UltraSmall,A," 6

",6,3,3,3,2,056_direct.npy,True,,False
56,cot,G4,True,6,6,UltraSmall,A," First, multiply 2 by 2 to get 4. Then, add 2 to 4 to get 6. ANSWER: 6

Question:"," First, multiply 2 by 2 to get 4. Then, add 2 to 4 to get 6. ANSWER: 6",32,34,34,31,056_cot.npy,True,,False
57,direct,G2,True,18,18,UltraSmall,B," 18

",18,4,4,4,3,057_direct.npy,True,,False
57,cot,G4,True,18,18,UltraSmall,B," First, multiply 5 by 4 to get 20. Then, subtract 2 from 20 to get 18. ANSWER: 18

Question:"," First, multiply 5 by 4 to get 20. Then, subtract 2 from 20 to get 18. ANSWER: 18",36,38,38,35,057_cot.npy,True,,False
58,direct,G2,True,20,20,UltraSmall,C," 20

",20,4,4,4,3,058_direct.npy,True,,False
58,cot,G4,True,20,20,UltraSmall,C," First, add 2 and 3 to get 5. Then, multiply 4 by 5 to get 20. ANSWER: 20

Question:"," First, add 2 and 3 to get 5. Then, multiply 4 by 5 to get 20. ANSWER: 20",34,36,36,33,058_cot.npy,True,,False
59,direct,G2,True,4,4,UltraSmall,D," 4

",4,3,3,3,2,059_direct.npy,True,,False
59,cot,G4,True,4,4,UltraSmall,D," First, subtract 1 from 5 to get 4. Then, multiply 4 by 1 to get 4. ANSWER: 4

Question:"," First, subtract 1 from 5 to get 4. Then, multiply 4 by 1 to get 4. ANSWER: 4",32,34,34,31,059_cot.npy,True,,False
60,direct,G2,True,20,20,UltraSmall,A," 20

",20,4,4,4,3,060_direct.npy,True,,False
60,cot,G4,True,20,20,UltraSmall,A," First, multiply 4 by 4 to get 16. Then, add 4 to 16 to get 20. ANSWER: 20

Question:"," First, multiply 4 by 4 to get 16. Then, add 4 to 16 to get 20. ANSWER: 20",36,38,38,35,060_cot.npy,True,,False
61,direct,G2,True,7,7,UltraSmall,B," 7

",7,3,3,3,2,061_direct.npy,True,,False
61,cot,G4,True,7,7,UltraSmall,B," First, multiply 2 by 4 to get 8. Then, subtract 1 from 8 to get 7. ANSWER: 7

Question:"," First, multiply 2 by 4 to get 8. Then, subtract 1 from 8 to get 7. ANSWER: 7",32,34,34,31,061_cot.npy,True,,False
62,direct,G2,True,10,10,UltraSmall,C," 10

",10,4,4,4,3,062_direct.npy,True,,False
62,cot,G4,True,10,10,UltraSmall,C," First, add 4 and 1 to get 5. Then, multiply 2 by 5 to get 10. ANSWER: 10

Question:"," First, add 4 and 1 to get 5. Then, multiply 2 by 5 to get 10. ANSWER: 10",34,36,36,33,062_cot.npy,True,,False
63,direct,G2,True,-4,-4,UltraSmall,D," -4

",-4,3,3,3,2,063_direct.npy,True,,False
63,cot,G4,True,-4,-4,UltraSmall,D," First, we need to solve the expression inside the parentheses: 3 - 4 = -1. Then, we multiply the result by 4: 4 * -1 = -4. ANSWER: -4

Question:"," First, we need to solve the expression inside the parentheses: 3 - 4 = -1. Then, we multiply the result by 4: 4 * -1 = -4. ANSWER: -4",46,48,48,45,063_cot.npy,True,,False
64,direct,G2,True,17,17,UltraSmall,A," 17

",17,4,4,4,3,064_direct.npy,True,,False
64,cot,G4,True,17,17,UltraSmall,A," First, multiply 3 by 4 to get 12. Then, add 5 to 12 to get 17. ANSWER: 17

Question:"," First, multiply 3 by 4 to get 12. Then, add 5 to 12 to get 17. ANSWER: 17",36,38,38,35,064_cot.npy,True,,False
65,direct,G2,True,6,6,UltraSmall,B," 6

",6,3,3,3,2,065_direct.npy,True,,False
65,cot,G4,True,6,6,UltraSmall,B," First, multiply 4 by 2 to get 8. Then, subtract 2 from 8 to get 6. ANSWER: 6

Question:"," First, multiply 4 by 2 to get 8. Then, subtract 2 from 8 to get 6. ANSWER: 6",32,34,34,31,065_cot.npy,True,,False
66,direct,G2,True,30,30,UltraSmall,C," 30

",30,4,4,4,3,066_direct.npy,True,,False
66,cot,G4,True,30,30,UltraSmall,C," First, add 5 and 1 to get 6. Then, multiply 5 by 6 to get 30. ANSWER: 30

Question:"," First, add 5 and 1 to get 6. Then, multiply 5 by 6 to get 30. ANSWER: 30",34,36,36,33,066_cot.npy,True,,False
67,direct,G2,True,-5,-5,UltraSmall,D," -5

",-5,3,3,3,2,067_direct.npy,True,,False
67,cot,G4,True,-5,-5,UltraSmall,D," First, subtract 5 from 4 to get -1. Then, multiply -1 by 5 to get -5. ANSWER: -5

Question:"," First, subtract 5 from 4 to get -1. Then, multiply -1 by 5 to get -5. ANSWER: -5",32,34,34,31,067_cot.npy,True,,False
68,direct,G2,True,11,11,UltraSmall,A," 11

",11,4,4,4,3,068_direct.npy,True,,False
68,cot,G4,True,11,11,UltraSmall,A," First, multiply 5 by 2 to get 10. Then, add 1 to 10 to get 11. ANSWER: 11

Question:"," First, multiply 5 by 2 to get 10. Then, add 1 to 10 to get 11. ANSWER: 11",36,38,38,35,068_cot.npy,True,,False
69,direct,G2,True,7,7,UltraSmall,B," 7

",7,3,3,3,2,069_direct.npy,True,,False
69,cot,G4,True,7,7,UltraSmall,B," First, multiply 2 by 4 to get 8. Then, subtract 1 from 8 to get 7. ANSWER: 7

Question:"," First, multiply 2 by 4 to get 8. Then, subtract 1 from 8 to get 7. ANSWER: 7",32,34,34,31,069_cot.npy,True,,False
70,direct,G2,True,35,35,UltraSmall,C," 35

",35,4,4,4,3,070_direct.npy,True,,False
70,cot,G4,True,35,35,UltraSmall,C," First, add 2 and 5 to get 7. Then, multiply 5 by 7 to get 35. ANSWER: 35

Question:"," First, add 2 and 5 to get 7. Then, multiply 5 by 7 to get 35. ANSWER: 35",34,36,36,33,070_cot.npy,True,,False
71,direct,G2,True,-20,-20,UltraSmall,D," -20

",-20,4,4,4,3,071_direct.npy,True,,False
